Date Added,Bean ID #,Roaster,Roast Name,General Tags,Roast Degree,Origins,Regions,Producer Info,Elevation (MASL),Varietals,Process,Processing Tags,Price/Bag,Gram/Bag,Retail Price/Cup (20g),Bulk Price/Cup (20g),Roaster Region,Roaster Country,Tasting Notes,General Tasting Notes,Link,Available?
9/23/2024,6979,49th Parallel Coffee Roasters,Honduras La Maravilla Sof,"Single Origin, Single Varietal, Traceable","Filter, Light",Honduras,Santa Barbara,Juan Evangelista,"1,500.00",Parainema,Washed,Washed,$19.22,301,$1.28,$1.15,NA,Canada,"Butterscotch, Granny Smith, Pink Lemonade","Caramel, Citrus Fruit, Sweet, Creamy, Common Fruit",https://49thcoffee.com/collections/filter/products/honduras-la-maravilla-sof,YES
9/23/2024,6978,Tiny Arms Coffee,Ethiopia Goraa Honey,"Single Origin, Traceable",-,Ethiopia,"Oromia, Guji","Ture Waji, Sookoo Coffee (Dambi Uddo Agro Industry), Suke Drying Station, Shoondhisa","2,173.00",74110 & 74112,Honey,"Honey, Dried on Raised Beds",$22.50,283,$1.59,$1.15,NA,USA,"Georgia Peach, Black Tea, Sugarcane","Stone Fruit, Sweet, Tea Like",https://tinyarms.co/products/ethiopia-goraa-honey,YES
9/23/2024,6977,Klatch Coffee,Organic Guatemala Joyabaj Chauquenem Natural Fair Trade,"Single Origin, Traceable",Medium,Guatemala,-,La Federación Comercializadora de Café Especial de Guatemala (FECCEG),-,"Bourbon, Catuaí, Caturra",Natural,Natural,$18.95,310,$1.22,$0.84,NA,USA,Blueberry - Blackberry - Granola,"Berries, Cereal, Dried Fruit",https://www.klatchcoffee.com/collections/single-origin/products/organic-guatemala-joyabaj-chauquenem-natural-fair-trade,YES
9/23/2024,6976,Saint Frank Coffee,Bolivia Don Pancho,"Single Origin, Traceable",-,Bolivia,"Siete Estrellas, Caranavi",Francisco Hilari,1550 - 1600,"Typica, Caturra, And Catuai",Fully Washed,Washed,$20.00,283,$1.41,$1.14,NA,USA,Dynamic And Sweet Like Salted Caramel With Subtle Notes Of Dried Apricot With Cocoa Powder In The Finish,"Caramel, Chocolate, Complex, Dried Fruit, Stone Fruit, Sweet, Berries",https://www.saintfrankcoffee.com/products/bolivia-don-pancho,CHECK LINK
9/23/2024,6975,House of Funk Brewing Co.,The Diamond Sea Ethiopia Filter,"Single Origin, Single Varietal, Traceable",Filter,Ethiopia,"Wanja Kersa Kebele, Jimma",Multiple smallholder farmers,"2,000.00",Jarc 74112,Washed,Washed,$22.50,250,$1.80,$1.23,NA,USA,"Poached Pear, Maple Syrup, Spice Cookie","Common Fruit, Spiced, Sweet",https://www.houseoffunkbrewing.com/en-us/collections/coffee/products/the-diamond-sea-ethiopia-filter,YES
9/23/2024,6974,House of Funk Brewing Co.,What Was Going Through My Head Costa Rica Filter,"Single Origin, Single Varietal, Traceable",Filter,Costa Rica,Tarrazu,Mario Araya Mora,"1,800.00",Red Catuai,Black Honey,Honey,$22.50,250,$1.80,$1.23,NA,USA,"Mango Iced Tea, Cherry Candy","Berries, Sweet, Tea Like, Tropical Fruit, Stone Fruit",https://www.houseoffunkbrewing.com/en-us/collections/coffee/products/what-was-going-through-my-head-costa-rica-filter,YES
9/23/2024,6973,Axil Coffee Roasters,Nima,"Single Origin, Single Varietal, Traceable",Filter,Guatemala,"Nima, Huehuetenango",Luis Pedro,"1,900.00",Red Bourbon,Washed,Washed,$54.00,"1,000",$1.08,$1.08,APAC,Australia,"Papaya, Lemon, Apple Sugarcane","Citrus Fruit, Common Fruit, Sweet, Tropical Fruit",https://axilcoffee.com.au/collections/coffee/products/nima,YES
9/23/2024,6972,Archers Coffee,Ethiopia Kokose,"Single Origin, Single Varietal, Traceable, Cupping Score",Omni,Ethiopia,Sidama Bensa Kokose,"Basha Bekele, Kokose Washing Station","2,215.00",74158,Natural,Natural,$9.53,100,$1.91,$1.09,EMEA,UAE,"Blueberry, Peach, Lyche, Strawberry, Bubble Gum","Berries, Stone Fruit, Sweet",https://archerscoffee.com/collections/coffee/products/ethiopia-kokose,YES
9/23/2024,6971,Archers Coffee,Ethiopia Elto Natural Anaerobic Archers Lot,"Single Origin, Single Varietal, Traceable, Cupping Score",Omni,Ethiopia,"Bensa, Sidama","Eliyas Dukamo & Atiklit Dejene, Elto Coffee, Arbegona Village, Elto Station, Gango Village",2300 - 2400,74158,Anaerobic Natural,"Natural, Anaerobic Fermentation",$16.34,100,$3.27,$2.42,EMEA,UAE,"Mango, Melon, Lychee, Orange Candy","Sweet, Tropical Fruit, Stone Fruit, Citrus Fruit",https://archerscoffee.com/collections/coffee/products/ethiopia-elto-natural-anaerobic-archers-lot,YES
9/23/2024,6970,Archers Coffee,Ethiopia Elto Df Washed Archers Lot,"Single Origin, Single Varietal, Traceable, Cupping Score",Omni,Ethiopia,"Bensa, Sidama","Eliyas Dukamo & Atiklit Dejene, Elto Coffee, Arbegona Village, Elto Station, Gango Village",2300 - 2400,74158,Dry Fermentation Washed,Washed,$16.34,100,$3.27,$2.42,EMEA,UAE,"Lemon Grass, Yuzu, Apricot, Jasmine","Citrus Fruit, Stone Fruit, Tea Like, Floral, Tropical Fruit",https://archerscoffee.com/collections/coffee/products/ethiopia-elto-df-washed-archers-lot,YES
